key_DO_NOT_MODIFY;fr;en;es;ab;cn;ru;am;bg;br;cz;de;et;fa;fi;hb;it;jp;ko;mg;nl;pl;ro;sb;sk;sl;sw;uk
AddGauging;Ajouter un jeu de jaugeages;Add gauging dataset;Añadir un conjunto de aforos;أضف مجموعة بيانات القياس;添加测量数据;Добавить набор данных измерений;Ավելացնել չափիչ տվյալների հավաքածու;Добави група данни от измервания;Adicionar conjunto de medições;Přidejte datovou sadu průtoku a vodních stavů;Ein Set von Messungen hinzufügen;Lisa mõõtmisandmestik;اضافه کردن داده های اندازه گیری شده (ایستگاهها) ;Lisää mittausdatasetit;הוסף מערך נתונים למדידה;Aggiungi un dataset di misure di portata e livello;Gausing (水位・流量データ) の追加;관측 자료 추가;Mérési adatkészlet hozzáadása;Voeg meetgegevensverzameling toe;Dodaj zestaw danych pomiarowych;Adăugați setul de date  măsurate;Додајте скуп података за мерење;Pridať súbor údajov o meraní;Dodaj podatke meritev;Lägg till mätdata;Додати набір даних вимірювань
AddRemnant;Ajouter un modèle d'erreur;Add error model;Añadir un modelo de error;أضف نموذج الخطأ;添加误差估算模型;Добавить модель ошибок;Ավելացնել սխալի մոդել;Добави модел на грешката;Adicionar modelo de erro;Přidat model chyby;Fehlermodell hinzufügen;Lisage veamudel;اضافه کردن مدل خطا;Lisää virhemalli;הוסף מודל שגיאה;Aggiungi un modello di errore;誤差モデルの追加;오류 모델 추가;Hibamodell hozzáadása;Voeg foutmodel toe;Dodaj model błędu;Adăugați modelul de eroare;Додајте модел грешке;Pridať model chyby;Dodaj model napak;Lägg till felmodell;Додати модель похибки
AddLimni;Ajouter un limnigramme;Add stage series;Añadir un limnigrama;أضف سلسلة المسرح;添加水位过程序列;Добавить серию этапов;Ավելացնել բեմական շարք;Добави редица водни стоежи;Adicionar série de cotas;Přidejte datovou sadu vodních stavů;Wasserstandsganglinie hinzufügen;Lisada staadiumiseeriad;اضافه کردن سری اشل;Lisää vedenkorkeussarja;הוסף סדרת רומים;Aggiungi una serie di livello idrometrico;水位ハイドログラフの追加;수위 계열 추가;Vízállások hozzáadása;Stapreeksen toevoegen;Dodaj hydrogram stanu wody;Adăugați hidrograful de niveluri;Додајте сценску серију;Pridajte sériu vodných stavov;Dodaj nivogram;Lägg till stegserier;Додати серію ступенів
AddRC;Ajouter une courbe de tarage;Add rating curve;Añadir una curva de gasto;أضف منحنى التصنيف;添加水位流量曲线;Добавить калибровочную кривую;Ավելացնել վարկանիշի կորը;Добави ключова крива;Adicionar curva chave;Přidejte měrnou křivku;Abflusskurve hinzufügen;Lisada reitingukõver;اضافه کردن منحنی سنجه;Lisää purkautumiskäyrä;הוסף עקומת התאמה;Aggiungi una scala di deflusso;水位流量曲線の追加;수위유량곡선 추가;Vízhozamgörbe hozzáadása;Voeg ratingcurve toe;Dodaj krzywą przepływu;Adăugați cheia limnimetrică;Додајте криву оцене;Pridať mernú krivku;Dodaj pretočno krivuljo;Lägg till betygskurva.;Додати номінальну криву
AddHydro;Ajouter un hydrogramme;Add flow series;Añadir un hidrograma;أضف سلسلة التدفق;添加流量过程;Добавить серию расхода;Ավելացնել հոսքի շարք;Добави редица водни количества;Adicionar hidrograma;Přidejte průtokovou řadu;Eine Abflussganglinie hinzufügen;Vooluseeriate lisamine;اضافه کردن سری جریان;Lisää virtaamasarja;הוסף סדרת זרימה;Aggiungi un idrogramma;流量ハイドログラフの追加;유량 계열 추가;Vízhozam értékek hozzáadása;Debietreeksen toevoegen;Dodaj hydrogram przepływów;Adăugați hidrograful de debite;Додајте серију протока;Pridať sériu prietokov;Dodaj hidrogram;Lägg till flödesserie;Додати серію потоку
NameIsAlreadyUsed;Le nom est déjà utilisé;Name is already being used;El nombre ya se utiliza;الاسم مستخدم بالفعل;名称已被使用;Название уже используется;Անունն արդեն օգտագործվում է;Името вече е заето;Nome já existe;Jméno se již používá;Der Name wird bereits verwendet.;Nimi on juba kasutusel;این اسم قبلا بکار گرفته شده ;Nimi on jo käytössä;השם כבר נמצא בשימוש;Il nome è già usato;同じ名前が既に使用されています;이름이 이미 사용 중입니다.;A név már használatban van;Naam wordt al gebruikt;Nazwa jest już używana;Numele este deja utilizat;Име се већ користи;Názov sa už používa;Ime se že uporablja;Namnet används redan;Назва вже використовується
Channel;Chenal;Channel;Canal;قناة;明渠;Канал;Ալիք;Речно корито;Canal;Kanál;Gerinne;Kanal;کانال;Kanava;עָרוּץ;Canale;水路;하도;Csatorna;Kanaal;Kanał;Canal;Канал;Kanál;Korito;Kanal;Канал
RectangularChannel;Chenal rectangulaire;Rectangular channel;Canal rectangular;قناة مستطيلة;矩形断面明渠;Прямоугольный канал;Ուղղանկյուն ալիք;Правоъгълно корито;Canal retangular;Obdélníkový kanál;Rechtecksgerinne;Ristkülikukujuline kanal;کانال مستطیلی;Suorakulmainen kanava;ערוץ מלבני;Canale rettangolare;矩形断面水理;직사각형 하도;Négyszögletes csatorna;Rechthoekig kanaal;Kanał prostokątny;Canal dreptunghiular;Правоугаони канал;Obdĺžnikový kanál;Pravokotno korito;Rektangulär kanal;Прямокутний канал
TriangularChannel;Chenal triangulaire;Triangular channel;Canal triangular;قناة ثلاثية;三角断面明渠;Треугольный канал;Եռանկյուն ալիք;Триъгълно корито;Canal triangular;Trojúhelníkový kanál;Dreiecksgerinne;Kolmnurkne kanal;کانال مثلثی;Kolmiomainen kanava;ערוץ משולש;Canale triangolare;三角形断面水路;삼각형 하도;Háromszög alakú csatorna;Driehoekig kanaal;Kanał trójkątny;Canal triunghiular;Троугласти канал;Trojuholníkový kanál;Trikotno korito;Triangulär kanal;Трикутний канал
ParabolicChannel;Chenal parabolique;Parabolic channel;Canal parabólico;قناة مكافئ;抛物线断面明渠;Параболический канал;Պարաբոլիկ ալիք;Параболично корито;Canal parabólico;Parabolický kanál;Halbkreisgerinne;Paraboolne kanal;کانال سهمی;Parabolinen kanava;ערוץ פרבולי;Canale parabolico;放物線型断面水路;포물선 하도;Parabolikus csatorna;Parabolische goot;Kanał paraboliczny;Canal parabolic;Параболички канал;Parabolický kanál;Parabolično korito;Parabolisk kanal;Параболічний канал
RectangularSill;Déversoir rectangulaire;Rectangular weir;Vertedero rectangular;الهدار المستطيل;矩形堰;Прямоугольний водослив;Ուղղանկյուն հեղեղատար;Правоъгълен преливник;Vertedouro retangular;Obdélníkový jez;Rechteckiger Überlauf;Ristkülikukujuline paisjärv;سرریز مستطیلی;Suorakulmainen pato;x; מלבני;Stramazzo rettangolare;長方形堰堤;직사각형 위어;Téglalap alakú duzzasztómű;Rechthoekige stuw;Jaz prostokątny;Prag/deversor dreptunghiular;Правоугаона брана;Obdĺžnikový prepad;Pravokotni preliv;Rektangulär kanal;Прямокутна гребля
TriangularSill;Déversoir triangulaire;Triangular weir;Vertedero triangular;الهدار الثلاثي;三角堰;Треугольний водослив;Եռանկյուն հեղեղ;Триъгълен преливник;Vertedouro triangular;Trojúhelníkový jez;Dreieckiger Überlauf;Kolmnurkne paisjärv;سرریز مثلثی;Kolmikulmainen pato;סף משולש;Stramazzo triangolare;三角堰;삼각형 위어;Háromszög alakú duzzasztómű;Driehoekige stuw;Jaz trójkątny;Prag/deversor triunghiular;Троугласта брана;Trojuholníkový prepad;Trikotni preliv;Triangulär källa;Трикутна гребля
ParabolicSill;Déversoir parabolique;Parabolic weir;Vertedero parabólico;الهدار المكافئ;抛物堰;Параболический водослив;Պարաբոլիկ ջրհեղեղ;Параболичен преливник;Vertedouro parabólico;Parabolický jez;Halbkreisüberlauf;Paraboolne paisjärv;سرریز سهمی;Parabolinen pato;סף פרבולי;Stramazzo parabolico;放物線堰;포물선 위어;Parabolikus gát;Parabolische stuw;Jaz paraboliczny;Prag/deversor parabolic;Параболична брана;Parabolický prepad;Parabolični preliv;Parabolisk källa;Параболічна гребля
Orifice;Orifice;Orifice;Orificio;فتحة;孔洞;Отверстие;Ծակ;Отвор;Orifício;Otvor;Öffnung;Orifice;روزنه;Suuaukko;פֶּתַח;Orifizio;オリフィス;오리피스;Nyílás;Opening;Kryza;Orificiu;Орифице;Otvor;Odprtina;Öppning;Водовідвідний отвір
PriorAssistant;Assistant a priori;Prior assistant;Asistente a priori;مساعد سابق;先验计算助手;Помощник априори;Նախկին օգնական;Предходен асистент;Assistente a priori;Předchozí asistent;A-priori-Assistent;Eelnev assistent;مقادیر کمکی اولیه;Edellinen avustaja;עוזר קודם;Assistente a priori;事前分布入力ツール;사전 도우미;Előzetes súgó;Voorafgaande assistent;Wstępny pomocnik;Asistent anterior;Претходни асистент;Predchádzajúci pomocník;Predhodni pomočnik;Förhandsassistent;Попередній асистент
OpenPriorAssistant;Ouvrir l'assistant a priori;Open prior assistant;Abrir el asistente a priori;افتح المساعد السابق;打开先验计算助手;Открыть помощник априори;Բացեք նախորդ օգնականը;Отвори предходен асистент;Abrir assistente a priori;Otevřete předchozího asistenta;Öffnen Sie den A-priori-Assistent;Avatud eelassistent;بازکردن مقادیر کمکی اولیه;Avaa edellinen avustaja;פתח עוזר קודם;Apri l'assistente a priori;事前分布入力ツールを開く;사전 도우미 열기;Előzetes súgó megnyitása;Open voorafgaande assistent;Otwórz wstępny pomocnik;Deschideți asistentul anterior;Отвори претходни асистент;Otvoriť predchádzajúci pomocník;Odprt predhodni pomočnik;Öppen föregående assistent;Відкрити попередній асистент
PropagateUncertainty;Calcul des paramètres et propagation de l'incertitude;Compute parameters and propagate uncertainty;Cálculo de parámetros y propagación de la incertidumbre;حساب المعلمات وانتشار عدم اليقين;计算模型参数并传递误差;Вычислить параметры и распространить неопределенность;Հաշվել պարամետրերը և տարածել անորոշությունը;Изчисли параметри и разпредели неточността;Calcular parâmetros e propagar incertezas;Počítat parametry a šířit nejistotu;Unsicherheitsparameter und -fortpflanzung berechnen;Parameetrite arvutamine ja määramatuse levitamine;محاسبه پارامترها و انتشار عدم قطعیت;Laske parametrit ja lisää epävarmuus;חישוב פרמטרים והפצת אי ודאות;Calcolo dei parametri e propagazione dell'incertezza;パラメータを計算し不確実性を伝播させる;매개변수 계산 및 불확도 전파;A paraméterek kiszámítása és a bizonytalanság terjedése;Parameters berekenen en onzekerheid verspreiden;Obliczanie parametrów i propagacja niepewności;Calculați parametrii și propagați incertitudinea;Израчунајте параметре и пропагирајте несигурност;Výpočet parametrov a šírenie neistoty;Izračun parametrov in širjenje negotovosti;Beräkna parametrar och sprida osäkerhet;Розрахувати параметри та поширити невизначеність
Explanation_frectangle;Coefficient d'ouvrage ~ 0.4;Coefficient ~ 0.4;Coeficiente de estructura ~ 0,4;المعامل ~ 0.4;堰系数 ~ 0.4;Коэффициент ~ 0,4;Գործակից ~ 0,4;Коефициент ~ 0,4;Coeficiente de trabalho ~ 0,4;Koeficient ~ 0,4;Bauwerkskoeffizient ~ 0.4;Koefitsient ~ 0,4;ضریب ~ 0.4;Kerroin ~ 0,4;מקדם ~ 0.4;Coefficiente ~ 0,4;係数 ~ 0.4;계수 ~ 0.4;Együttható ~ 0,4;Coëfficiënt ~ 0,4;Współczynnik ~ 0.4;Coeficient ~ 0,4;Коефицијент ~ 0,4;Koeficient ~ 0,4;Koeficient ~ 0,4;Koefficient ~ 0,4;Коефіцієнт ~ 0.4
Explanation_ftriangle;Coefficient d'ouvrage ~ 0.31;Coefficient ~ 0.31;Coeficiente de estructura ~ 0,31;المعامل ~ 0.31;堰系数 ~ 0.31;Коэффициент ~ 0.31;Գործակից ~ 0,31;Коефициент ~ 0,31;Coeficiente de trabalho ~ 0,31;Koeficient ~ 0,31;Bauwerkskoeffizient ~ 0.31;Koefitsient ~ 0,31;ضریب ~ 0.31;Kerroin ~ 0,31;מקדם ~ 0.31;Coefficiente ~ 0,31;係数 ~ 0.31;계수 ~ 0.31;Együttható ~ 0,31;Coëfficiënt ~ 0.31;Współczynnik ~ 0.31;Coeficient ~ 0,31;Коефицијент ~ 0,31;Koeficient ~ 0,31;Koeficient ~ 0,31;Koefficient ~ 0,31;Коефіцієнт ~ 0.31
Explanation_forifice;Coefficient d'ouvrage ~ 0.6;Coefficient ~ 0.6;Coeficiente de estructura ~ 0,6;المعامل ~ 0.6;堰系数 ~ 0.6;Коэффициент ~ 0.6;Գործակից ~ 0,6;Коефициент ~ 0,6;Coeficiente de trabalho ~ 0,6;Koeficient ~ 0,6;Bauwerkskoeffizient ~ 0.6;Koefitsient ~ 0,6;ضریب ~ 0.6;Kerroin ~ 0,6;מקדם ~ 0.6;Coefficiente ~ 0,6;係数 ~ 0.6;계수 ~ 0.6;Együttható ~ 0,6;Coëfficiënt ~ 0.6;Współczynnik ~ 0.6;Coeficient ~ 0,6;Коефицијент ~ 0,6;Koeficient ~ 0,6;Koeficient ~ 0,6;Koefficient ~ 0,6;Коефіцієнт ~ 0.6
Explanation_fparabola;Coefficient d'ouvrage ~ 0.22;Coefficient ~ 0.22;Coeficiente de estructura ~ 0,22;المعامل ~ 0.22;堰系数 ~ 0.22;Коэффициент ~ 0.22;Գործակից ~ 0,22;Коефициент ~ 0,22;Coeficiente de trabalho ~ 0,22;Koeficient ~ 0,22;Koeffizient des Bauwerks ~ 0.22;Koefitsient ~ 0,22;ضریب ~ 0.22;Kerroin ~ 0,22;מקדם ~ 0.22;Coefficiente ~ 0,22;係数 ~ 0.22;계수 ~ 0.22;Együttható ~ 0,22;Coëfficiënt ~ 0.22;Współczynnik ~ 0.22;Coeficient ~ 0,22;Коефицијент ~ 0,22;Koeficient ~ 0,22;Koeficient ~ 0,22;Koefficient ~ 0,22;Коефіцієнт ~ 0.22
Explanation_Lrectangle;Largeur du déversoir;Weir width;Ancho del vertedero;عرض السد;堰宽;Ширина водослива;Հեղեղատարի լայնությունը;Ширина на преливника;Largura do vertedor;Šířka jezu;Breite des Überlaufs;Paisjärve laius;عرض سرریز;Padon leveys;רוחב weir -מבנה למדידת ספיקת מים;Larghezza dello stramazzo;堰幅;위어 폭;Gát szélessége;Stuwbreedte;Szerokość jazu;Lățimea deversorului/barajului;Ширина бране;Šírka hrádze;Širina preliva;Bredd på vätskan;Ширина греблі
Explanation_Bparabola;Largeur de la parabole au plein bord;Parabola width at bankful stage;Ancho de la parábola llena de agua;عرض القطع المكافئ في مرحلة البنك;平摊水位抛物线宽;Ширина параболы на стадии полного наполнения русла;Պարաբոլայի լայնությունը բանկային փուլում;Ширина на параболата в запълнено състояние;Largura da parábola com margens afogadas;Šířka paraboly ve fázi náklonu;Gerinnebreite bei bordvollem Wasserstand;Parabooli laius paisjärgu faasis;عرض سهمی در وضعیت پر بودن کانال ;Paraabelin leveys rantautumisvaiheessa;רוחב פרבולה בשלב מלא-גדות;Larghezza della parabola a bordo intero;水路満杯時の水面幅（放物線型水路）;강턱수위에서 포물선 폭;Parabola szélessége a partmenti szakaszon;Paraboolbreedte bij oeverfase;Szerokość paraboli w fazie brzegowej;Lățimea albiei parabolice la nivelul de umplere/revărsare;Ширина параболе у ​​фази насипа;Šírka paraboly pri plnom brehu;Širina parabole pri polnem koritu;Parabolens bredd vid bankfull stadium;Ширина параболи на стадії обвалування
Explanation_Hparabola;Hauteur de la parabole au plein bord;Parabola height at bankful stage;Altura de la parábola llena de agua;ارتفاع القطع المكافئ في مرحلة البنك;平摊水位抛物线高;Высота параболы на стадии полного наполнения русла;Պարաբոլայի բարձրությունը բանկային փուլում;Височина на параболата в запълнено състояние;Altura da parábola com margens afogadas;Výška paraboly ve fázi náklonu;Gerinnehöhe bei bordvollem Wasserstand;Parabooli kõrgus paisjärve juures;ارتفاع سهمی در وضعیت پر بودن کانال ;Paraabelikorkeus penkereen täyttövaiheessa ;גובה פרבולה בשלב מלא-גדות;Altezza della parabola a bordo intero;水路満杯時の水深（放物線型水路）;강턱수위에서 포물선 높이;Parabola magassága a partmenti szakaszon;Paraboolhoogte bij oeverfase;Wysokość paraboli przy brzegu;Înălțimea albiei parabolice la nivelul de umplere/revărsare;Висина параболе у ​​фази насипа;Výška paraboly v zátopovom stupni;Višina parabole pri polnem koritu;Parabolens höjd vid bankfull stadium;Висота параболи на стадії обвалування
Explanation_Lchannel;Largeur du chenal;Channel width;Ancho del canal;عرض القناة;明渠宽;Ширина канала;Ալիքի լայնությունը;Ширина на коритото;Largura do canal;Šířka koryta;Gerinne;Kanali laius;پهنای کانال;Kanavan leveys;רוחב ערוץ;Larghezza del canale;水路幅;하폭;Csatorna szélessége;Kanaalbreedte;Szerokość kanału;Lățimea canalului/albiei minore;Канал Ширина;Šírka kanála;Širina korita;Kanalens bredd;Ширина каналу
Explanation_Vchannel;Angle d'ouverture du triangle (en degrés);Angle (in degrees);Ángulo de apertura del triángulo (en grados);الزاوية (بالدرجات);角度（度）;Угол (в градусах);Անկյուն (աստիճաններով);Ъгъл на тригълъния отвор (в градуси);Ângulo de abertura do triângulo (em graus);Úhel (ve stupních);Winkel (in Grad);Nurk (kraadides);زاویه (بر حسب درجه);Kulma (asteina);זווית (במעלות);Angolo di apertura del triangolo (in gradi);角度(度);각도(도);Szög (fokban);Hoek (in graden);Kąt (w stopniach);Unghiul de deschidere al triunghiului (în grade);Угао (у степенима);Uhol (v stupňoch);Kot (v stopinjah);Vinkel (i grader);Кут (в градусах)
Explanation_Bpchannel;Largeur de la parabole au plein bord;Parabola width at bankful stage;Ancho de la parábola llena de agua;عرض القطع المكافئ في مرحلة البنك;平摊水位抛物线宽;Ширина параболы на стадии полного наполнения русла;Պարաբոլայի լայնությունը բանկային փուլում;Ширина на параболата в запълнено състояние;Largura da parábola com margens afogadas;Šířka paraboly ve fázi náklonu;Gerinnebreite bei bordvollem Wasserstand;Parabooli laius kalda täisväärtuslikus staadiumis;عرض سهمی در وضعیت پر بودن کانال ;Paraabelin leveys rantautumisvaiheessa;רוחב פרבולה בשלב מלא-גדות;Larghezza della parabola a bordo intero;水路満杯時の水面幅（放物線型水路）;강턱수위에서 포물선 폭;Parabola szélessége a partmenti szakaszon;Paraboolbreedte bij de oeverfase;Szerokość paraboli w stadium brzegowym;Lățimea albiei parabolice  la nivelul de umplere/revărsare;Ширина параболе у ​​фази насипа;Šírka paraboly v brehovom stupni;Širina parabole v fazi nasipanja;Parabelns bredd vid bankfull stage;Ширина параболи на стадії насипу
Explanation_Hpchannel;Hauteur de la parabole au plein bord;Parabola height at bankful stage;Altura de la parábola llena de agua;ارتفاع القطع المكافئ في مرحلة البنك;平摊水位抛物线高;Высота параболы на стадии полного наполнения русла;Պարաբոլայի բարձրությունը բանկային փուլում;Височина на параболата в запълнено състояние;Altura da parábola com margens afogadas;Výška paraboly ve fázi náklonu;Gerinnehöhe bei bordvollem Wasserstand;Parabooli kõrgus kaldapealses etapis;ارتفاع سهمی در وضعیت پر بودن کانال ;Paraabelin korkeus rantautumisvaiheessa;גובה פרבולה בשלב מלא-גדות;Altezza della parabola a bordo intero;水路満杯時の水深（放物線型水路）;강턱수위에서 포물선 높이;Parabola magassága a partmenti szakaszon;Paraboolhoogte bij oeverfase;Wysokość paraboli w stadium brzegowym;Adâncimea albiei parabolice la nivelul de umplere/revărsare;Висина параболе у ​​фази насипа;Výška paraboly vo fáze naplnenia;Višina parabole v fazi nasipanja;Parabelns höjd vid bankfull stage;Висота параболи на стадії завалу
Explanation_J;Pente du chenal;Channel slope;Pendiente del canal;منحدر القناة;明渠坡度;угол наклона русла;Ալիքների թեքություն;Наклон на коритото;Declividade do canal;Sklon koryta;Sohlneigung;Channel slope;شیب کانال;Uoman kaltevuus;שיפוע ערוץ;Pendenza del canale;水路勾配;하도경사;Meder dőlésszöge;Channel slope;Spadek kanału;Panta talvegului / albiei minore;Нагиб канала;Sklon koryta;Padec dna korita;Channel slope;Channel slope
butt_J_text;<html>|z<sub>X</sub>-z<sub>Y</sub>|/d(X:Y)</html>;<html>|z<sub>X</sub>-z<sub>Y</sub>|/d(X:Y)</html>;<html>|z<sub>X</sub>-z<sub>Y</sub>|/d(X:Y)</html>;<html> | z <sub> X </sub> -z <sub> Y </sub> | / d (X: Y) </html>;<html>|z<sub>X</sub>-z<sub>Y</sub>|/d(X:Y)</html>;<html>|z<sub>X</sub>-z<sub>Y</sub>|/d(X:Y)</html>;<html>|z<sub>X</sub>-z<sub>Y</sub>|/d(X:Y)</html>;<html>|z<sub>X</sub>-z<sub>Y</sub>|/d(X:Y)</html>;<html>|z<sub>X</sub>-z<sub>Y</sub>|/d(X:Y)</html>;<html>|z<sub>X</sub>-z<sub>Y</sub>|/d(X:Y)</html>;<html>|z<sub>X</sub>-z<sub>Y</sub>|/d(X:Y)</html>;<html>|z<sub>X</sub>-z<sub>Y</sub>|/d(X:Y)</html>;<html>|z<sub>X</sub>-z<sub>Y</sub>|/d(X:Y)</html>;<html>|z<sub>X</sub>-z<sub>Y</sub>|/d(X:Y)</html>;<html>|z<sub>X</sub>-z<sub>Y</sub>|/d(X:Y)</html>;<html>|z<sub>X</sub>-z<sub>Y</sub>|/d(X:Y)</html>;<html>|z<sub>X</sub>-z<sub>Y</sub>|/d(X:Y)</html>;<html>|z<sub>X</sub>-z<sub>Y</sub>|/d(X:Y)</html>;<html>|z<sub>X</sub>-z<sub>Y</sub>|/d(X:Y)</html>;<html>|z<sub>X</sub>-z<sub>Y</sub>|/d(X:Y)</html>;<html>|z<sub>X</sub>-z<sub>Y</sub>|/d(X:Y)</html>;<html>|z<sub>X</sub>-z<sub>Y</sub>|/d(X:Y)</html>;<хтмл>|з<суб>Кс</суб>-з<суб>И</суб>|/д(Кс:И)</хтмл>;<html>|z<sub>X</sub>-z<sub>Y</sub>|/d(X:Y)</html>;<html>|z<sub>X</sub>-z<sub>Y</sub>|/d(X:Y)</html>;<html>|z<sub>X</sub>-z<sub>Y</sub>|/d(X:Y)</html>;<html>|z<sub>X</sub>-z<sub>Y</sub>|/d(X:Y)</html>
butt_J_info;Spécifier la pente à partir de deux points X et Y;Specify slope using two points X and Y;Especificación de la pendiente a partir de dos puntos X e Y;حدد الميل باستخدام النقطتين X و Y;X和Y两点坡度;Укажите уклон русла, используя две точки Х и Y;Նշեք թեքությունը՝ օգտագործելով X և Y երկու կետերը;Посочете наклона използвайки две точки X и Y;Especificar declividade a partir de dois pontos X e Y;Určete sklon pomocí dvou bodů X a Y;Gebe die Neigung mittels  zwei Punkten X und Y an;Specify slope using two points X and Y;تعیین شیب با استفاده از دو نقطه X و Y;Määritä uoma 2 pisteen X ja Y avulla;ציין שיפוע באמצעות שתי נקודות X ו-Y;Specifica la pendenza a partire da due punti X e Y;X と Y の 2 点を使用して勾配を指定する;두 점 X와 Y를 사용하여 기울기 지정;Dőlésszög megadása X és Y pontokban;Specify slope using two points X and Y;Określ spadek używając dwóch punktów X i Y ;Specificați panta prin două puncte, X și Y;Наведите нагиб користећи две тачке Кс и И;Určiť sklon pomocou dvou bodov X a Y;Določi padec z uporabo dveh točk X in Y;Specify slope using two points X and Y;Specify slope using two points X and Y
Manning;Manning;Manning;Manning;مانينغ;曼宁糙度系数;Мэннинг;Մենինգ;Манинг;Manning;Manning;Manning;Manning;مانینگ;Manning;מנינג;Manning;マニング;매닝;Manning;Manning;Manning;Manning;Маннинг;Manning;Manning;Manning;Manning
Strickler;Strickler;Strickler;Strickler;ستريكلر;Strickler系数;Стриклер;Սթրիքլեր;Стриклър;Strickler;Strickler;Strickler;Strickler;استریکلر;Strickler;סטריקלר;Strickler;ストリックラー;Strickler;Strickler;Strickler;Strickler;Strickler;Стрицклер;Strickler;Strickler;Strickler;Strickler
butt_M_info_n;Utiliser le coefficient de Manning;Use Manning coefficient;Utilizar el coeficiente de Manning;استخدم معامل مانينغ;使用曼宁系数;Использовать коэффициент Мэннинга;Օգտագործեք Մենինգի գործակիցը;Използвай коефициента на Манинг;Usar coeficiente de Manning;Použijte Manningův koeficient;Manning-Koeffizienten verwenden;Use Manning coefficient;استفاده از ضریب مانینگ ;Käytä Manningin kerrointa;השתמש במקדם Manning;Utilizza il coefficiente Manning;マニングの粗度係数を使用;매닝 계수 사용;Manning együttható használata;Use Manning coefficient;Użyj współczynnika Manninga;Folosiți coeficientul Manning;Користите Манингов коефицијент;Použiť Manningov koeficient;Uporabi Manningov koeficient;Use Manning coefficient;Use Manning coefficient
butt_M_info_K;Utiliser le coefficient de Strickler;Use Strickler coefficient;Utilizar el coeficiente de Strickler;استخدم معامل ستريكلر;使用Strickler系数;Использовать коэффициент Стриклера;Օգտագործեք Strickler գործակիցը;Използвай коефициента на Стриклър;Usar coeficiente de Strickler;Použijte Stricklerův koeficient;Strickler-Koeffizienten verwenden;Use Strickler coefficient;استفاده از ضریب استریکلر ;Käytä Stricklerin kerrointa;השתמש במקדם Strickler;Utilizza il coefficiente di Strickler;ストリックラー係数を使用;Strickler 계수 사용;Strickler együttható használata;Use Strickler coefficient;Użyj współczynnika Stricklera;Folosiți coeficientul Strickler ;Користите Стриклеров коефицијент;Použite Stricklerov koeficient;Uporabi Stricklerjev koeficient;Use Strickler coefficient;Use Strickler coefficient
Explanation_u;Angle d'ouverture du triangle (en degrés);Angle (in degrees);Ángulo de apertura del triángulo (en grados);الزاوية (بالدرجات);角度（度）;Угол (в градусах);Անկյուն (աստիճաններով);Ъгъл на триъгълния отвор (в градуси);Ângulo de abertura do triângulo (em graus);Úhel (ve stupních);Winkel (in Grad);Angle (in degrees);زاویه (بر حسب درجه);Kulma (asteina);זווית (במעלות);Angolo di apertura del triangolo (in gradi);角度 (度);각도(도);Szög (fok);Angle (in degrees);Kąt (w stopniach);Unghiul de deschidere al triunghiului (în grade);Угао (у степенима);Uhol (v stupňoch);Kot (v stopinjah);Angle (in degrees);Angle (in degrees)
Explanation_S;Surface de l'orifice;Orifice area;Área del orificio;منطقة الفوهة;空口面积;Поверхность отверстия;Օֆիսի տարածք;Площ на напречното сечение;Área do orifício;Oblast otvoru;Fläche der Öffnung;Orifice area;سطح روزنه;Aukon ala;אזור פתח;Area dell'orifizio;オリフィス面積;오리피스 영역;Nyílás területe;Orifice area;Powierzchnia kryzy;Aria orificiului;Подручје отвора;Plocha otvoru;Površina odprtine;Orifice area;Orifice area
Explanation_g;Accélération de gravité ~ 9.81;Gravity acceleration ~ 9.81;Aceleración de la gravedad ~ 9,81;تسارع الجاذبية ~ 9.81;重力加速度 ~ 9.81;Gravity acceleration ~ 9.81;Ձգողության արագացում ~ 9,81;Земно ускорение ~ 9,81;Aceleração gravitacional ~ 9,81;Gravitační zrychlení ~ 9,81;Erdbeschleunigung ~ 9.81;Gravity acceleration ~ 9.81;شتاب ثقل ~ 9.81;Painovoimakiihtyvyys ~ 9.81;תאוצת כבידה ~ 9.81;Accelerazione di gravità ~ 9,81;重力加速度 ~ 9.81;중력 가속도 ~ 9.81;Gravitációs együttható ~ 9.81;Gravity acceleration ~ 9.81;Przyspieszenie ziemskie  ~ 9.81;Accelerația gravitațională  ~ 9.81 m/s2;Убрзање гравитације ~ 9,81;Gravitačné zrychlenie ~ 9,81;Težni pospešek ~ 9.81;Gravity acceleration ~ 9.81;Gravity acceleration ~ 9.81
